2024-08-16 15:08:22.557 T [test_long_connection] [85469-event poller 0] Transcode.cpp:314 getCodec_l | decoder:h264_videotoolbox not found
2024-08-16 15:08:22.557 I [test_long_connection] [85469-event poller 0] Transcode.cpp:325 getCodec_l | got decoder:h264
2024-08-16 15:08:22.557 I [test_long_connection] [85469-event poller 0] Transcode.cpp:551 FFmpegDecoder | 打开解码器成功:h264
2024-08-16 15:08:22.574 W [test_long_connection] [85469-event poller 0] Transcode.cpp:164 addDecodeTask | decode thread start drop frame
2024-08-16 15:08:22.574 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
2024-08-16 15:08:23.081 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 64 times
2024-08-16 15:08:23.625 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 13 times
2024-08-16 15:08:24.165 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 13 times
2024-08-16 15:08:24.666 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 12 times
2024-08-16 15:08:25.166 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 12 times
2024-08-16 15:08:25.668 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 12 times
2024-08-16 15:08:26.210 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 13 times
2024-08-16 15:08:26.751 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 13 times
2024-08-16 15:08:26.751 T [test_long_connection] [85469-event poller 0] Transcode.cpp:153 addDecodeTask | decode thread drop frame
    Last message repeated 11 times
2024-08-16 15:08:27.168 I [test_long_connection] [85469-event poller 0] Transcode.cpp:157 addDecodeTask | decode thread stop drop frame
2024-08-16 15:08:27.589 T [test_long_connection] [85469-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | GET_PARAMETER rtsp://192.168.74.128/live/123
2024-08-16 15:08:29.327 T [test_long_connection] [85469-event poller 0] RtspPlayer.cpp:734 sendRtspRequest | TEARDOWN rtsp://192.168.74.128/live/123
2024-08-16 15:08:29.327 D [test_long_connection] [85469-event poller 0] RtspPlayerImp.h:31 ~RtspPlayerImp | 
2024-08-16 15:08:29.327 D [test_long_connection] [85469-event poller 0] RtspPlayer.cpp:37 ~RtspPlayer | 
2024-08-16 15:08:29.327 T [test_long_connection] [85469-event poller 0] TcpClient.cpp:28 ~TcpClient | ~mediakit::RtspPlayerImp-1
2024-08-16 15:08:29.328 I [test_long_connection] [85469-decoder thread] Transcode.cpp:261 onThreadRun | decoder thread exited!
2024-08-16 15:08:29.328 I [test_long_connection] [85469-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 0
2024-08-16 15:08:29.329 I [test_long_connection] [85469-test_long_conne] EventPoller.cpp:108 ~EventPoller | event poller 1
